teryt;JPT_NAZWA;Szkołapodstawowa10_2023;czniowiena1000miesz;bezrobocie;Miasto_prawa_powiatu;uczniowie_ukraina_porownanie_powiat_wojew;Szkołapodstawowa02_2022;Ukraina_suma_02_2022;uczniowie_ukraina_porownanie_powiat_na1000mieszk2022;ROZNICE_2023_2022_SP;Szkołapodstawowa09_2022;Suma09_2022;ROZNICE_09_03_2022_SP;ROZNICE_09_03_2022_ALL;Suma_10_2023;ROZNICE_uczniowie_roznice_ogolem_04_09;WSZYSCY_UCZNIOWIE;cena_m2@2021;cena_m2@2022;dynamika_m2;klastry_bez_dynamika;klastry_bez_uczniowie_mieszkania;QCL_2;QCL_1;ROZNICE_2023_2022_SP_RELATIVE;ROZNICE_09_03_202_SP_RELATIVE;UCZNIOWIE_SP_JAKO_PROCENT_2022;UCZNIOWIE_SP_JAKO_PROCENT_2023;UCZNIOWIE_SP_JAKO_PROCENT_ROZNICA;Uchodzcy_roczniki_sp_04_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;ZPROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;miast_prawa_powiat_rekod;Rbezrobo;Rdynamik;Rczniowi;suma_rang_B_SZ_Dyna;Wszyscy_ukraina_04_2022;proc_wiek_sp_uchodzcy_04_2022;Uchodzcy_roczniki_sp_09_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_09_2022;Wszyscy_ukraina_09_2022;proc_wiek_sp_uchodzcy_09_2022;Uchodzcy_roczniki_sp_10_2023;PROCENT_UCZNIOW_WG_UCHODZCOW_10_2023;Wszyscy_ukraina_10_2023;proc_wiek_sp_uchodzcy_10_2023;Uczniowie_sp_04_2022_altern;Uczniowie_JEZYK_sp_04_2022_altern;procent_jezyk_04_2022;niezogdnosc_danych_SP_04_2022;niezogdnosc_danych_procent_04_2022;Uczniowie_sp_10_2022_altern;Uczniowie_Jezyk_sp_04_2022;procent
3013;powiat leszczyński;87;1.46142346;2.3;FAŁSZ;30;133;177;2.234130117;-46;112;151;-21;-26;118;-26;5292;4422;4869;10.10854817;2;5;4;2;-.869236583522298;-.396825396825397;75.1412429378531;73.728813559322;-1.41242937853107;444;29.954954954955;-.964505014199403;0;22;114;131;267;1895;23.4300791556728;513;21.8323586744639;2467;20.7944872314552;358;24.3016759776536;1562;22.9193341869398;183;60;32.7868852459016;50;27.3224043715847;112;59;52.6785714285714
3014;powiat międzychodzki;136;3.802175068;4.8;FAŁSZ;30;84;119;2.348402248;52;167;223;83;104;181;104;3106;3413;4096;20.01171989;2;2;2;5;1.67417900837089;2.67224726336124;70.5882352941177;75.1381215469613;4.54988625284368;399;21.0526315789474;-1.36123980391908;0;119.5;259;320;698.5;1519;26.2672811059908;477;35.0104821802935;1900;25.1052631578947;347;39.193083573487;1232;28.1655844155844;141;78;55.3191489361702;57;40.4255319148936;167;93;55.688622754491
3015;powiat nowotomyski;300;3.990316831;2.2;FAŁSZ;30;322;434;4.282940065;-22;393;512;71;78;461;78;7380;3327;4545;36.60955816;2;5;4;5;-.29810298102981;.962059620596206;74.1935483870968;65.0759219088937;-9.11762647820306;558;57.7060931899642;.272233029019786;0;17.5;353;327;697.5;2105;26.5083135391924;769;51.1053315994798;3204;24.0012484394507;555;54.0540540540541;2271;24.4385733157199;340;203;59.7058823529412;18;5.29411764705882;393;154;39.1857506361323
3016;powiat obornicki;134;2.271648471;3.2;FAŁSZ;30;168;217;2.848036889;-34;162;227;-6;10;215;10;5558;3905;4393;12.49679898;2;5;4;2;-.61173083843109;-.107952500899604;77.4193548387097;62.3255813953488;-15.0937734433608;332;50.6024096385542;-.0443448216117944;0;48;149;226;423;1357;24.4657332350774;412;39.3203883495146;1828;22.5382932166302;294;45.578231292517;1245;23.6144578313253;172;42;24.4186046511628;4;2.32558139534884;162;25;15.4320987654321
3017;powiat ostrowski;387;2.435279459;3;FAŁSZ;30;294;378;1.850057264;93;429;647;135;269;657;269;13392;4328;4632;7.024029575;2;2;3;5;.694444444444444;1.00806451612903;77.7777777777778;58.9041095890411;-18.8736681887367;833;35.2941176470588;-.726563580433948;0;39.5;79;250;368.5;3122;26.6816143497758;1044;41.0919540229885;4290;24.3356643356643;783;49.4252873563218;3042;25.7396449704142;337;127;37.6854599406528;43;12.7596439169139;429;227;52.9137529137529
3018;powiat ostrzeszowski;163;2.983271716;3.6;FAŁSZ;30;136;174;2.489110143;27;192;246;56;72;214;72;4864;2999;2867;-4.401467156;3;2;3;5;.555098684210526;1.15131578947368;78.1609195402299;76.1682242990654;-1.99269524116445;385;35.3246753246753;-.725201768096713;0;69;14;288;371;1429;26.9419174247726;453;42.3841059602649;1863;24.3156199677939;335;48.6567164179104;1375;24.3636363636364;164;22;13.4146341463415;28;17.0731707317073;192;88;45.8333333333333
3019;powiat pilski;316;2.407343923;4.3;FAŁSZ;30;378;497;2.879670895;-62;398;627;20;130;509;130;10874;5121;5404;5.526264401;2;5;4;5;-.570167371712341;.183924958616884;76.056338028169;62.0825147347741;-13.9738232933949;625;60.48;.395853042413985;0;89;67;247;403;2577;24.2530073729142;763;52.1625163826999;3430;22.2448979591837;568;55.6338028169014;2369;23.9763613338962;396;247;62.3737373737374;18;4.54545454545455;398;319;80.1507537688442
3020;powiat pleszewski;110;1.787949222;3.7;FAŁSZ;30;135;176;2.194301318;-25;142;174;7;-2;158;-2;4988;3609;4483;24.21723469;2;5;3;2;-.501202886928629;.140336808340016;76.7045454545455;69.620253164557;-7.08429228998848;289;46.7128027681661;-.21768635265239;0;74;295;170;539;1066;27.1106941838649;327;43.4250764525994;1389;23.5421166306695;217;50.6912442396313;896;24.21875;165;102;61.8181818181818;30;18.1818181818182;142;125;88.0281690140845
3021;powiat poznański;1707;3.856058552;1;FAŁSZ;30;1971;2518;4.452426132;-264;1939;2569;-32;51;2359;51;44126;6238;7235;15.98268676;2;5;4;2;-.598286724380184;-.0725196029551738;78.2764098490866;72.3611699872828;-5.91523986180383;2585;76.247582205029;1.0985402114017;0;1.5;205;322;528.5;10331;25.0217791114123;3684;52.6330076004343;16442;22.4060333292787;2647;64.4880997355497;13285;19.9247271358675;2118;945;44.6175637393768;147;6.94050991501416;1939;873;45.0232078390923
3022;powiat rawicki;104;1.766694413;3.6;FAŁSZ;30;139;170;2.361255033;-35;129;206;-10;36;181;36;5223;4208;4052;-3.707224335;3;5;3;2;-.670112961899292;-.19146084625694;81.7647058823529;57.4585635359116;-24.3061423464413;218;63.7614678899083;.542092672035086;0;69;16;167;252;955;22.8272251308901;248;52.0161290322581;1201;20.6494587843464;182;57.1428571428571;769;23.667100130039;144;112;77.7777777777778;5;3.47222222222222;129;47;36.4341085271318
